"","V1"
"1",33.8692566592942
"2",54.6898163284931
"3",47.7496297720935
"4",54.1757284354265
"5",45.4362342532936
"6",40.0383113760939
"7",49.5489373978267
"8",38.2390037503606
"9",43.379882681027
"10",50.3200692374267
"11",41.8376190018271
"12",51.8623329166266
"13",39.5242234830272
"14",53.1475526492932
"15",51.8623329166266
"16",55.7179921146264
"17",59.5736513126262
"18",55.7179921146264
"19",52.3764208096933
"20",52.6334647562266
"21",52.6334647562266
"22",43.8939705740937
"23",55.7179921146264
"24",52.8905087027599
"25",46.7214539859602
"26",47.2355418790268
"27",52.1193768631599
"28",54.4327723819598
"29",46.7214539859602
"30",43.379882681027
"31",57.003211847293
"32",50.0630252908933
"33",42.8657947879604
"34",46.9784979324935
"35",43.6369266275603
"36",40.0383113760939
"37",55.2039042215598
"38",52.1193768631599
"39",43.379882681027
"40",50.0630252908933
"41",50.0630252908933
"42",47.2355418790268
"43",52.6334647562266
"44",51.6052889700933
"45",43.379882681027
"46",50.57711318396
